"code";"name";"raw_yield";"parsed_base";"source";"yield_kind";"n_ingredients";"dup_group"
"DES-001";"Schokoladenmousse (vegan)";"";"";"none";"empty";"0";""
"DES-002";"Chocco Cremoso";"";"";"none";"empty";"0";"3"
"DES-004";"Karamellsauce / Salted Caramel";"";"";"none";"empty";"0";""
"DES-005";"Toffee Sauce (vegan)";"";"";"none";"empty";"0";""
"DES-006";"Sticky Toffee Pudding";"";"";"none";"empty";"0";""
"DES-007";"Vanille-Flan";"";"";"none";"empty";"0";""
"DES-008";"Pavlova (vegan)";"";"";"none";"empty";"4";""
"DES-010";"Lemon Curd";"";"";"none";"empty";"0";"4"
"DES-011";"Red Velvet";"";"";"none";"empty";"0";"5"
"DES-012";"Mascarpone-Crème";"";"";"none";"empty";"0";""
"DES-013";"Italienische Meringue";"";"";"none";"empty";"0";""
"DES-015";"Vegane Panna Cotta";"";"";"none";"empty";"0";""
"DES-016";"Chia Pudding";"";"";"none";"empty";"0";"6"
"DES-017";"Cookies";"";"";"none";"empty";"0";"7"
"DES-019";"Granola (hausgemacht)";"";"";"none";"empty";"0";""
"DIP-003";"Hausgemachte Currysauce";"Ca. 180–220 ml Kräuteröl (je nach Kräuterart und Filtration).";"";"none";"volume";"4";"1"
"DIP-004";"Bohnenpüree (Weißbohnen)";"50-70 Portionen";"60";"yield";"portions";"11";"2"
"DIP-005";"Bohnenpüree (Weißbohnen)";"50-70 Portionen";"60";"yield";"portions";"1";"2"
"FER-002";"[Unbekannt FER-002]";"";"";"none";"empty";"0";""
"FER-004";"Pickled Water (Einlegelake)";"";"";"none";"empty";"0";""
"FLE-001";"Steaktatar (Rindertatar)";"";"80";"note";"empty";"8";""
"FLE-002";"Rosmarin-Hähnchen mit gegrilltem Blumenkohl";"Ausbeute Hähnchen Portionen 1 4 5 20 10 40 12,5 50 25 100";"";"none";"portions";"6";""
"FRU-001";"Obstsalat (hausgemacht)";"";"";"none";"empty";"0";""
"FRU-002";"Frittata";"";"1";"note";"empty";"5";""
"FRU-003";"Gemüsemuffins";"";"";"none";"empty";"0";""
"FRU-004";"Tramezzini Thunfisch";"";"";"none";"empty";"0";""
"FRU-005";"Tramezzini Eiersalat";"30 Portionen Tramazzini";"30";"yield";"portions";"6";""
"GEM-005";"Gebackene Austernpilze (Panko)";"";"";"none";"empty";"6";""
"GEM-006";"Austernpilze Sojaglasur";"";"50";"note";"empty";"3";""
"GEM-007";"Caponata";"";"55";"note";"empty";"8";""
"GEM-008";"Parmigiana di Melanzane";"Ausbeute Ca. 50 Portionen Mengenkalkulation Portionen Auberginen Tomatensauce 25 7–8 Stück 1,25 l 50 15 Stück 2,5 l 100 30 Stück 5 l";"50";"yield";"portions";"7";""
"GEM-009";"Maiskolben (Feta, Mayo, Chili)";"";"";"none";"empty";"0";""
"GEM-013";"Kohlrabi-Apfel-Miso-Snack";"50 Portionen als Snack oder Flying-Buffet-Komponente.";"50";"yield";"portions";"9";""
"GEM-016";"Tomatensalat";"";"65";"note";"empty";"5";""
"GEM-021";"Gremolata";"";"";"none";"empty";"0";""
"GEM-022";"Ofenkartoffeln";"";"";"none";"empty";"3";""
"OEL-001";"Kräuteröl (Grundrezept)";"";"";"none";"empty";"0";""
"OEL-002";"Tofu-Marinade";"";"";"none";"empty";"0";""
"PRO-013";"Gilda (Sardelle, Piparra, Olive)";"Mengenkalkulation Portionen Oliven Sardinen Piparras 10 20 Stk. 10 Stk. 3 Stk. 25 50 Stk. 25 Stk. 7 Stk. 50 100 Stk. 50 Stk. 13 Stk. 100 200 Stk. 100 Stk. 25 Stk.";"1";"note";"portions";"0";""
"PRO-014";"[Unbekannt PRO-014]";"";"";"none";"empty";"3";""
"PUE-004";"Gemüsepüree (Grundrezept)";"";"";"none";"empty";"4";""
"PUE-010";"Grüner Linsensalat";"";"45";"note";"empty";"11";""
"PUE-011";"Orzo mit Edamame & Pesto";"";"50";"note";"empty";"3";""
"REC-0001";"▶ Pasta Choux";"";"";"none";"empty";"7";""
"REC-0002";"▶ Red Velvet";"";"";"none";"empty";"9";"5"
"REC-0003";"▶ Chocco Cremoso";"";"";"none";"empty";"6";"3"
"REC-0004";"▶ Croquetas Base";"";"";"none";"empty";"6";""
"REC-0005";"▶ Pickled Water";"";"";"none";"empty";"6";""
"REC-0006";"▶ Italian Merengue";"";"";"none";"empty";"3";""
"REC-0007";"▶ Panella";"";"";"none";"empty";"3";""
"REC-0008";"▶ Lemon Curd";"";"";"none";"empty";"5";"4"
"REC-0009";"▶ Vg Panna cotta";"";"";"none";"empty";"4";""
"REC-0010";"▶ Chia Pudding";"";"";"none";"empty";"4";"6"
"REC-0011";"▶ Salted Caramel";"";"";"none";"empty";"4";""
"REC-0012";"▶ Chocco Mousse Vg";"";"";"none";"empty";"2";""
"REC-0013";"▶ Mascarpone Cream";"";"";"none";"empty";"3";""
"REC-0014";"▶ Miso emulsion";"";"";"none";"empty";"2";""
"REC-0015";"▶ Beetroots Gel";"";"";"none";"empty";"3";""
"REC-0016";"▶ Fermented Carrots";"";"";"none";"empty";"3";""
"REC-0018";"▶ Focaccia Bread";"";"";"none";"empty";"5";""
"REC-0019";"▶ Kimchi";"";"";"none";"empty";"9";""
"REC-0021";"▶ Veggy Purea";"";"";"none";"empty";"4";""
"REC-0022";"▶ Alioli";"";"";"none";"empty";"6";""
"REC-0023";"▶ Brisket Rub";"";"";"none";"empty";"9";""
"REC-0024";"▶ Vg Toffee Sauce";"";"";"none";"empty";"4";""
"REC-0025";"▶ Toffee Cake";"";"";"none";"empty";"9";""
"REC-0026";"▶ Cookies";"";"";"none";"empty";"7";"7"
"REC-0027";"▶ Cashew creme";"";"";"none";"empty";"6";""
"SAU-001";"Zitrus-Beurre Blanc";"50 Portionen";"50";"yield";"portions";"5";""
"SAU-002";"Kräuter-Beurre Blanc";"50 Portionen";"50";"yield";"portions";"5";""
"SAU-003";"Pilzrahmsauce";"50 Portionen";"50";"yield";"portions";"7";""
"SAU-004";"Haselnuss-Sauce (vegan)";"50 Portionen";"50";"yield";"portions";"5";""
"SAU-008";"Fermentierte Senfkörner-Sauce";"";"";"none";"empty";"3";""
"SAU-010";"Caesar-Dressing";"200–350 ml Dressing (je nach Wasserzugabe)";"45";"note";"volume";"7";""
"SAU-011";"Haus-Zitrus-Dressing";"150–200 Portionen";"175";"yield";"portions";"8";""
"SAU-012";"Chimichurri";"";"";"none";"empty";"8";""
"SAU-013";"Avocado-Koriander-Sauce";"";"";"none";"empty";"0";""
"SAU-014";"Trüffelsauce";"Ca. 240–340 g Sauce";"20";"note";"grams";"4";""
"SAU-015";"Kräutersauce Wraps";"Ca. 400 g Kräutersoße";"";"none";"grams";"5";""
"SAU-016";"Thunfisch-Mayonnaise";"Ca. 3,0–3,3 kg fertige Thunfisch-Mayonnaise";"60";"note";"grams";"6";""
"SAU-017";"Hausgemachte Currysauce";"";"";"none";"empty";"0";"1"
"SAU-018";"[Unbekannt SAU-018]";"";"";"none";"empty";"2";""
"TEI-003";"Fish & Chips Teig";"";"";"none";"empty";"4";""
"TEI-004";"Croquetas Basis (Béchamel)";"";"";"none";"empty";"0";""
"TEI-005";"Pasta Choux / Brandteig";"";"";"none";"empty";"0";""
"TEI-006";"Panella (Kichererbsenmehl)";"";"";"none";"empty";"0";""
