"Kategorie";"Zutat";"Code";"Menge";"Einheit";"Lieferant";"Einzelpreis";"Kosten"
"Ohne Kategorie";"Agar Agar";"ING-0125";"35";"g";"";"";""
"Ohne Kategorie";"Anchovis";"ING-0018";"3,6";"Stück";"";"";""
"Ohne Kategorie";"Apfelessig";"ING-0066";"98,18";"ml";"";"";""
"Ohne Kategorie";"Auberginen";"ING-0062";"9.818,18";"g";"";"";""
"Ohne Kategorie";"Austernpilze";"ING-0056";"3,6";"Bedarf";"";"";""
"Ohne Kategorie";"Basilikumpesto oder Kräuterpesto";"ING-0054";"3,5";"EL";"";"";""
"Ohne Kategorie";"Beetroots Juice";"ING-0133";"3.500";"ml";"";"";""
"Ohne Kategorie";"Black Pepper";"ING-0151";"140";"g";"";"";""
"Ohne Kategorie";"Blumenkohl";"ING-0100";"2,8";"Geschmack";"";"";""
"Ohne Kategorie";"Brown Sugar";"ING-0149";"280";"g";"";"";""
"Ohne Kategorie";"Bunte Tomaten (gemischt)";"ING-0078";"16.961,54";"g";"";"";""
"Ohne Kategorie";"Butter";"ING-0005";"2.450";"g";"";"";""
"Ohne Kategorie";"Cashew praline 500";"ING-0164";"4.950";"g";"";"";""
"Ohne Kategorie";"Cayenne Pepper";"ING-0156";"2,8";"5-10Gr";"";"";""
"Ohne Kategorie";"Chili powder";"ING-0152";"56";"g";"";"";""
"Ohne Kategorie";"Chiliflocken";"ING-0028";"140";"g";"";"";""
"Ohne Kategorie";"Cummin";"ING-0155";"28";"g";"";"";""
"Ohne Kategorie";"Datteln";"ING-0050";"3.500";"g";"";"";""
"Ohne Kategorie";"Dill";"ING-0006";"245";"g";"";"";""
"Ohne Kategorie";"Edamame";"ING-0055";"70";"g";"";"";""
"Ohne Kategorie";"Egg Yolk";"ING-0112";"126";"g";"";"";""
"Ohne Kategorie";"Essig";"ING-0022";"1.806";"ml";"";"";""
"Ohne Kategorie";"Flour 405";"ING-0103";"3.150";"g";"";"";""
"Ohne Kategorie";"Fresh Heast";"ING-0137";"31,5";"g";"";"";""
"Ohne Kategorie";"Frittieröl";"ING-0059";"3,6";"Bedarf";"";"";""
"Ohne Kategorie";"Ganzes Hähnchen";"ING-0098";"2,8";"Geschmack";"";"";""
"Ohne Kategorie";"Garlic";"ING-0146";"63";"g";"";"";""
"Ohne Kategorie";"Garlic Powder";"ING-0154";"56";"g";"";"";""
"Ohne Kategorie";"Gemüse";"ING-0046";"3.500";"g";"";"";""
"Ohne Kategorie";"Grapefruitsaft oder Orangensaft";"ING-0025";"315";"ml";"";"";""
"Ohne Kategorie";"Grüne Linsen, gekocht";"ING-0047";"7.000";"g";"";"";""
"Ohne Kategorie";"Gurken";"ING-0048";"21";"Stück";"";"";""
"Ohne Kategorie";"H2O";"ING-0101";"2.394";"ml";"";"";""
"Ohne Kategorie";"Hafer milch 700";"ING-0165";"6.930";"ml";"";"";""
"Ohne Kategorie";"Haselnusskerne";"ING-0012";"1.750";"g";"";"";""
"Ohne Kategorie";"Honig oder Zucker";"ING-0024";"46,2";"ml";"";"";""
"Ohne Kategorie";"Kapern";"ING-0019";"0,9";"EL";"";"";""
"Ohne Kategorie";"Kartoffeln";"ING-0080";"2,8";"Bedarf";"";"";""
"Ohne Kategorie";"Kochsahne";"ING-0004";"3.500";"ml";"";"";""
"Ohne Kategorie";"Lemon Juice";"ING-0147";"31,5";"ml";"";"";""
"Ohne Kategorie";"Mais starci 60";"ING-0166";"594";"g";"";"";""
"Ohne Kategorie";"Mayonnaise";"ING-0017";"135";"g";"";"";""
"Ohne Kategorie";"Minze";"ING-0051";"210";"g";"";"";""
"Ohne Kategorie";"Mustard";"ING-0148";"31,5";"g";"";"";""
"Ohne Kategorie";"Olive Oil";"ING-0138";"126";"ml";"";"";""
"Ohne Kategorie";"Olivenöl";"ING-0009";"7,65";"Geschmack";"";"";""
"Ohne Kategorie";"Olivenöl";"ING-0009";"2,8";"Bedarf";"";"";""
"Ohne Kategorie";"Onion Powder";"ING-0153";"56";"g";"";"";""
"Ohne Kategorie";"Oregano, getrocknet";"ING-0027";"280";"g";"";"";""
"Ohne Kategorie";"Orzo-Nudeln";"ING-0053";"175";"g";"";"";""
"Ohne Kategorie";"Panko";"ING-0058";"3,6";"Bedarf";"";"";""
"Ohne Kategorie";"Petersilie";"ING-0026";"910";"g";"";"";""
"Ohne Kategorie";"Pfeffer";"ING-0011";"30,82";"Geschmack";"";"";""
"Ohne Kategorie";"Pflanzenöl";"ING-0021";"5.180";"ml";"";"";""
"Ohne Kategorie";"Pinienkerne";"ING-0064";"163,64";"g";"";"";""
"Ohne Kategorie";"Raps Oil";"ING-0132";"945";"ml";"";"";""
"Ohne Kategorie";"Ras el Hanout";"ING-0052";"7";"Geschmack";"";"";""
"Ohne Kategorie";"Reismehl";"ING-0084";"720";"g";"";"";""
"Ohne Kategorie";"Rosmarin";"ING-0099";"2,8";"Geschmack";"";"";""
"Ohne Kategorie";"Salt";"ING-0115";"249,9";"g";"";"";""
"Ohne Kategorie";"SALT 2 g Cashew praline";"ING-0167";"19,8";"g";"";"";""
"Ohne Kategorie";"Salz";"ING-0010";"37,22";"Geschmack";"";"";""
"Ohne Kategorie";"Salz";"ING-0010";"28";"g";"";"";""
"Ohne Kategorie";"Schalotten";"ING-0001";"700";"g";"";"";""
"Ohne Kategorie";"Schnittlauch";"ING-0034";"245";"g";"";"";""
"Ohne Kategorie";"Selleriestangen";"ING-0063";"6,55";"Stück";"";"";""
"Ohne Kategorie";"Senf";"ING-0023";"462";"g";"";"";""
"Ohne Kategorie";"Smoked Paprika";"ING-0150";"168";"g";"";"";""
"Ohne Kategorie";"Speisestärke (Maisstärke)";"ING-0057";"3,6";"Bedarf";"";"";""
"Ohne Kategorie";"Sprudelwasser";"ING-0085";"540";"ml";"";"";""
"Ohne Kategorie";"Strauchtomaten";"ING-0079";"7.269,23";"g";"";"";""
"Ohne Kategorie";"sugar";"ING-0168";"7.920";"g";"";"";""
"Ohne Kategorie";"Tomaten Concassée";"ING-0049";"7.000";"g";"";"";""
"Ohne Kategorie";"Tomatensauce / Pelati (Dose)";"ING-0065";"8.181,82";"ml";"";"";""
"Ohne Kategorie";"Vegane Sahne";"ING-0013";"3.500";"ml";"";"";""
"Ohne Kategorie";"Wasser";"ING-0016";"980";"ml";"";"";""
"Ohne Kategorie";"Wasser";"ING-0016";"3,6";"Geschmack";"";"";""
"Ohne Kategorie";"Wasser";"ING-0016";"0,9";"Bedarf";"";"";""
"Ohne Kategorie";"water (on500 gr Cashew)";"ING-0169";"742,5";"ml";"";"";""
"Ohne Kategorie";"Weißwein";"ING-0002";"175";"ml";"";"";""
"Ohne Kategorie";"Xantana";"ING-0134";"17,5";"g";"";"";""
"Ohne Kategorie";"Zitronen (Saft und Zesten)";"ING-0003";"10,5";"Stück";"";"";""
"Ohne Kategorie";"Zitronensaft";"ING-0020";"315";"ml";"";"";""
"Ohne Kategorie";"Zitronensaft";"ING-0020";"0,9";"Geschmack";"";"";""
"Ohne Kategorie";"Zitronenzesten";"ING-0014";"3,5";"Geschmack";"";"";""
"Ohne Kategorie";"Zwiebeln";"ING-0037";"490,91";"g";"";"";""
