"Rezept";"Code";"Portionen";"Faktor";"Zutat";"Menge";"Einheit"
"▶ Alioli";"REC-0022";"315";"6,3";"Egg Yolk";"126";"g"
"▶ Alioli";"REC-0022";"315";"6,3";"Garlic";"63";"g"
"▶ Alioli";"REC-0022";"315";"6,3";"Salt";"18,9";"g"
"▶ Alioli";"REC-0022";"315";"6,3";"Lemon Juice";"31,5";"ml"
"▶ Alioli";"REC-0022";"315";"6,3";"Raps Oil";"945";"ml"
"▶ Alioli";"REC-0022";"315";"6,3";"Mustard";"31,5";"g"
"▶ Beetroots Gel";"REC-0015";"175";"3,5";"Beetroots Juice";"3,5";"L"
"▶ Beetroots Gel";"REC-0015";"175";"3,5";"Agar Agar";"35";"g"
"▶ Beetroots Gel";"REC-0015";"175";"3,5";"Xantana";"17,5";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Brown Sugar";"280";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Smoked Paprika";"168";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Salt";"168";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Black Pepper";"140";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Chili powder";"56";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Onion Powder";"56";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Garlic Powder";"56";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Cummin";"28";"g"
"▶ Brisket Rub";"REC-0023";"140";"2,8";"Cayenne Pepper";"2,8";"5-10Gr"
"▶ Cashew creme";"REC-0027";"495";"9,9";"Cashew praline 500";"4.950";"g"
"▶ Cashew creme";"REC-0027";"495";"9,9";"Hafer milch 700";"6.930";"ml"
"▶ Cashew creme";"REC-0027";"495";"9,9";"Mais starci 60";"594";"g"
"▶ Cashew creme";"REC-0027";"495";"9,9";"SALT 2 g Cashew praline";"19,8";"g"
"▶ Cashew creme";"REC-0027";"495";"9,9";"sugar";"7.920";"g"
"▶ Cashew creme";"REC-0027";"495";"9,9";"water (on500 gr Cashew)";"742,5";"ml"
"▶ Focaccia Bread";"REC-0018";"315";"6,3";"Flour 405";"3.150";"g"
"▶ Focaccia Bread";"REC-0018";"315";"6,3";"H2O";"2.394";"ml"
"▶ Focaccia Bread";"REC-0018";"315";"6,3";"Salt";"63";"g"
"▶ Focaccia Bread";"REC-0018";"315";"6,3";"Fresh Heast";"31,5";"g"
"▶ Focaccia Bread";"REC-0018";"315";"6,3";"Olive Oil";"126";"ml"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Mayonnaise";"135";"g"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Anchovis";"3,6";"Stück"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Kapern";"0,9";"EL"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Zitronensaft";"0,9";"Geschmack"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Wasser";"0,9";"Bedarf"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Salz";"0,9";"Geschmack"
"Caesar-Dressing";"SAU-010";"180";"0,9";"Pfeffer";"0,9";"Geschmack"
"Caponata";"GEM-007";"180";"3,27";"Auberginen";"9.818,18";"g"
"Caponata";"GEM-007";"180";"3,27";"Selleriestangen";"6,55";"Stück"
"Caponata";"GEM-007";"180";"3,27";"Zwiebeln";"490,91";"g"
"Caponata";"GEM-007";"180";"3,27";"Pinienkerne";"163,64";"g"
"Caponata";"GEM-007";"180";"3,27";"Tomatensauce / Pelati (Dose)";"8.181,82";"ml"
"Caponata";"GEM-007";"180";"3,27";"Apfelessig";"98,18";"ml"
"Caponata";"GEM-007";"180";"3,27";"Salz";"3,27";"Geschmack"
"Caponata";"GEM-007";"180";"3,27";"Pfeffer";"3,27";"Geschmack"
"Chimichurri";"SAU-012";"140";"2,8";"Petersilie";"560";"g"
"Chimichurri";"SAU-012";"140";"2,8";"Oregano, getrocknet";"280";"g"
"Chimichurri";"SAU-012";"140";"2,8";"Chiliflocken";"140";"g"
"Chimichurri";"SAU-012";"140";"2,8";"Pflanzenöl";"980";"ml"
"Chimichurri";"SAU-012";"140";"2,8";"Essig";"420";"ml"
"Chimichurri";"SAU-012";"140";"2,8";"Wasser";"280";"ml"
"Chimichurri";"SAU-012";"140";"2,8";"Salz";"2,8";"Geschmack"
"Chimichurri";"SAU-012";"140";"2,8";"Pfeffer";"2,8";"Geschmack"
"Croquetas Basis (Béchamel)";"TEI-004";"180";"3,6";"(keine Zutaten)";"";""
"Fish & Chips Teig";"TEI-003";"180";"3,6";"Reismehl";"720";"g"
"Fish & Chips Teig";"TEI-003";"180";"3,6";"Sprudelwasser";"540";"ml"
"Fish & Chips Teig";"TEI-003";"180";"3,6";"Salz";"3,6";"Geschmack"
"Fish & Chips Teig";"TEI-003";"180";"3,6";"Pfeffer";"3,6";"Geschmack"
"Gebackene Austernpilze (Panko)";"GEM-005";"180";"3,6";"Austernpilze";"3,6";"Bedarf"
"Gebackene Austernpilze (Panko)";"GEM-005";"180";"3,6";"Speisestärke (Maisstärke)";"3,6";"Bedarf"
"Gebackene Austernpilze (Panko)";"GEM-005";"180";"3,6";"Wasser";"3,6";"Geschmack"
"Gebackene Austernpilze (Panko)";"GEM-005";"180";"3,6";"Panko";"3,6";"Bedarf"
"Gebackene Austernpilze (Panko)";"GEM-005";"180";"3,6";"Frittieröl";"3,6";"Bedarf"
"Gebackene Austernpilze (Panko)";"GEM-005";"180";"3,6";"Salz";"3,6";"Geschmack"
"Gemüsepüree (Grundrezept)";"PUE-004";"175";"3,5";"Gemüse";"3.500";"g"
"Gemüsepüree (Grundrezept)";"PUE-004";"175";"3,5";"Wasser";"700";"ml"
"Gemüsepüree (Grundrezept)";"PUE-004";"175";"3,5";"Butter";"700";"g"
"Gemüsepüree (Grundrezept)";"PUE-004";"175";"3,5";"Salz";"28";"g"
"Grüner Linsensalat";"PUE-010";"315";"7";"Grüne Linsen, gekocht";"7.000";"g"
